Position,Height above ground [m],Opening Angle [°],Stalling Angle Left [°],Stalling Angle Right [°],Roll Angle Left [°],Roll Angle Right [°],Speed hor. [km/h],Speed vert. [km/h],Speed resulting [km/h]
0.0,2.4,0.0,-11.0,-11.0,0.0,0.0,82.326,-16.003,83.867
1.0,2.3,3.2,-6.157,-6.22,-5.247,6.201,79.878,-9.213,80.408
2.0,2.3,3.3,-2.565,-3.84,-2.62,6.28,80.866,-10.955,81.607
3.0,2.3,4.3,1.477,-0.959,-2.443,7.777,81.868,-12.082,82.757
4.0,2.3,7.7,5.855,2.275,-7.442,10.98,82.701,-11.868,83.549
5.0,2.3,11.2,5.604,0.355,-4.606,3.214,82.43,-13.412,83.514
6.0,2.3,13.2,7.971,3.112,-3.847,5.576,82.16,-14.589,83.446
7.0,2.3,20.2,6.395,1.924,0.764,0.272,81.936,-15.722,83.432
8.0,2.3,27.6,4.507,0.424,5.682,-5.64,81.715,-16.851,83.436
9.0,2.4,33.1,3.119,0.37,8.559,-6.709,81.925,-17.398,83.753
10.0,2.4,36.2,1.711,0.343,14.537,-10.315,81.882,-18.379,83.92
11.0,2.4,37.8,1.156,0.615,20.711,-14.508,81.687,-19.721,84.034
12.0,2.4,39.1,1.9,1.859,23.354,-14.981,81.723,-20.862,84.344
13.0,2.5,40.1,2.871,3.129,24.987,-15.805,81.576,-22.125,84.523
14.0,2.5,40.0,4.748,4.453,22.642,-17.957,80.768,-23.785,84.198
15.0,2.6,40.3,6.287,5.142,23.504,-18.4,81.359,-24.044,84.837
16.0,2.6,40.7,7.199,5.888,25.393,-18.039,81.101,-24.913,84.842
17.0,2.7,41.1,8.061,6.637,27.353,-17.62,80.782,-25.826,84.809
18.0,2.7,41.5,8.394,6.951,28.739,-17.858,80.508,-26.723,84.827
19.0,2.8,41.1,8.554,7.604,30.631,-18.505,80.38,-27.631,84.997
20.0,2.8,40.4,8.804,8.449,32.017,-19.03,80.362,-28.63,85.31
21.0,2.9,39.9,9.124,8.879,31.346,-19.51,80.312,-29.662,85.615
22.0,2.9,39.1,9.797,9.854,30.751,-20.705,80.162,-30.375,85.724
23.0,3.0,38.5,10.633,10.548,29.509,-18.772,79.779,-30.999,85.591
24.0,3.0,37.7,11.936,11.24,27.416,-22.197,79.464,-31.416,85.452
25.0,3.1,36.9,13.207,11.851,26.724,-23.567,79.146,-31.752,85.281
26.0,3.2,36.6,14.197,12.24,26.722,-25.491,78.843,-32.136,85.145
27.0,3.2,36.5,14.788,12.509,27.253,-27.854,78.545,-32.525,85.017
28.0,3.3,36.7,15.009,12.634,28.409,-29.046,78.253,-32.906,84.892
29.0,3.3,37.0,14.952,12.269,29.449,-30.068,77.99,-33.467,84.872
30.0,3.4,37.0,14.089,12.551,29.449,-31.94,77.544,-33.828,84.606
31.0,3.4,37.6,12.884,11.695,29.04,-32.087,77.327,-34.292,84.596
32.0,3.5,37.8,11.299,11.167,29.034,-32.463,77.128,-34.85,84.641
33.0,3.5,38.0,9.586,10.166,28.604,-32.119,76.987,-35.471,84.77
34.0,3.6,38.0,8.083,9.006,27.853,-31.475,76.78,-36.057,84.829
35.0,3.7,37.5,6.725,7.875,27.482,-31.023,76.539,-36.56,84.826
36.0,3.7,37.2,5.17,6.353,27.892,-30.524,76.521,-37.145,85.063
37.0,3.8,36.6,3.915,5.163,28.161,-30.262,76.726,-38.341,85.775
